ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Brand
\n<p class="""" data-start=""758"" data-end=""900"">Available in random colors, they combine practicality with a touch of fun, making them a must-have tool for professionals and hobbyists alike.</p>",,,taxable,,1,50,,0,0,0.01,,,,1,,1000,1500,Others,"picker, tweezer",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01xh7c9R1WBY243nM12_2213258862750-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01lIBf6M1a92Jsc1rdx_968023286-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01xh7c9R1WBY243nM12_2213258862750-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/19896274631_1786287563.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01TqMqLB1uQFTMmlPNY_3370046031-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN015RF7sI1uQFTOU6aMJ_3370046031-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01aw6C4L1rwMWGTES7B_1015505695-0-cib.jpg",,,,,,,,,0,,

22010,simple,BSA-00036-C,,8 Pieces Flexible Acrylic Plastic Ruler Set,1,0,visible,"Versatile French curve ruler set designed for precision in pattern making, drafting, and sewing. Durable, flexible, and includes 8 ruler types for various crafting needs. Ideal for tailors, fashion designers, and sewing enthusiasts.","Look no further if clarity is what you seek. The French curve ruler prides itself on its design and distinct scale. Not only does it allow you to view proportions with ease, but it also enhances your operational efficiency substantially.
\n
\nAdaptability at its finest. The sewing ruler is purpose-built for a wide variety of uses. From artful curve drawing to precise line drafting and pattern modification, it simplifies all your crafting needs.
\n
\nBreakage is a thing of the past with our Sewing Pattern Making Tools. Known for its robustness, it also flaunts a flexible design with accurate scale, making it an ideal choice for measurement and drawing.
\n
\nMore is better. That's why our sewing rulers consists of 8 varied types of rulers. This range equips you to choose the one that best meets your crafting needs.
\n
\nThe ideal option for the creatively inclined. The French curve is a much-loved choice among sewing aficionados, tailors, fashion designers, and all those with an artful eye.
\n
\n&nbsp;",,,taxable,,1,8,,0,0,0.9,,,,1,,81000,83000,"Pattern Drafting Tools, Pattern Drafting Tools > Rulers & Curves","pattern drafting, pattern ruler, sewing ruler, short ruler, steel ruler",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/8-Pieces-Flexible-Acrylic-Plastic-Ruler-Set-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/8-Pieces-Flexible-Acrylic-Plastic-Ruler-Set-6.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/8-Pieces-Flexible-Acrylic-Plastic-Ruler-Set-4.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/8-Pieces-Flexible-Acrylic-Plastic-Ruler-Set-11.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/8-Pieces-Flexible-Acrylic-Plastic-Ruler-Set-3.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/8-Pieces-Flexible-Acrylic-Plastic-Ruler-Set-2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/8-Pieces-Flexible-Acrylic-Plastic-Ruler-Set-10.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/8-Pieces-Flexible-Acrylic-Plastic-Ruler-Set-12.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/8-Pieces-Flexible-Acrylic-Plastic-Ruler-Set-7.jpg",,,,,,,,,0,,

22018,simple,BSA-00037-C,,Industrial Sewing Machine Bias Sewing foot,1,0,visible,"Neatly folds and stitches bias tape onto fabric for clean, decorative finishes—perfect for professional-looking seams and stylish embellishments.
\n
\n&nbsp;","This Industrial Bias Sewing Foot is the perfect tool for anyone looking to add clean, decorative trims to their sewing projects with ease and precision. Designed to work seamlessly with industrial sewing machines, this foot helps you neatly fold bias tape and stitch it directly onto fabric, eliminating the hassle of manual pinning and alignment.
\n
\nIt expertly guides and secures the bias tape in place as you sew, ensuring uniform, professional-looking finishes on your garments, sleeves, and curved seams. Whether you’re embellishing garments, creating home décor, or finishing off handmade crafts, this attachment saves time and delivers beautifully consistent results.
\n
\nIdeal for fashion designers, professional tailors, and DIY sewing enthusiasts, this bias foot is a must-have for creating stylish, polished seams and decorative accents with confidence.",,,taxable,,1,8,,0,0,0.04,,,,1,,14500,15000,"Sewing Machine Foots > Industrial Sewing Machine Foots & Attachments, Sewing Machine Foots","bias attachment, bias folder, bias foot, bias maker",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Sewing-Machine-Bias-Sewing-foot-7-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Sewing-Machine-Bias-Sewing-foot-2-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Sewing-Machine-Bias-Sewing-foot-3.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Sewing-Machine-Bias-Sewing-foot-4-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Sewing-Machine-Bias-Sewing-foot-5-2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Sewing-Machine-Bias-Sewing-foot-6-1.jpg",,,,,,,,,0,,

22019,simple,BSA-00075-C,,9 Hole Curve Nose Tweezer,1,0,visible,"Lightweight and durable stainless steel tweezers designed for precision tasks like applying lashes, handling stamps, jewelry, and documents—ideal for both professional and personal use.","<p class="""" data-start=""34"" data-end=""290"">Crafted from high-quality stainless steel, these precision tweezers are lightweight, compact, and easy to carry—perfect for on-the-go use. Their fine tips offer excellent control for delicate tasks, making them ideal for both professional and personal use.</p>
\n<p class="""" data-start=""292"" data-end=""632"">The tweezers feature a humanized, multifunctional design, allowing for a wide range of applications including applying false eyelashes, handling stamps, placing jewelry, managing documents, or working with small craft materials. Their elegant finish pairs well with other tools and cosmetics, while the smooth surface ensures easy cleaning.</p>
\n<p class="""" data-start=""634"" data-end=""769"">A thoughtful and practical gift for beauty lovers, hobbyists, stamp collectors, or anyone who appreciates high-quality precision tools.</p>",,,taxable,,1,18,,0,0,0.03,,,,1,,3000,3500,Others,"picker, tweezer",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/616wE5SJL._AC_SL1500_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01IkNgJ61xggccIBdxh_2216361246473-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/51iHSC2tBeL._AC_SL1500_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/41GYoySqdpL._AC_SL1500_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/41G8F1Lor4L._AC_SL1500_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/61byYaudiBL._AC_SL1500_.jpg",,,,,,,,,0,,

22030,simple,BSA-00077-C,,Butterfly HA Needle Size 18,1,0,visible,"Durable flat-shank sewing machine needles suitable for most home machines like Singer and Brother. Ideal for woven fabrics, they’re portable, sturdy, and easy to store.","<p class="""" data-start=""0"" data-end=""392"">These high-quality sewing machine needles are designed for both electric and manual sewing machines, offering exceptional durability and longevity. Made with sturdy materials, these needles are resistant to bending and are built to withstand long-term use. The standard flat shank design ensures compatibility with most home sewing machines, such as Singer, Brother, and other similar brands.</p>
\n<p class="""" data-start=""394"" data-end=""702"">Ideal for a variety of woven fabrics, these universal regular point needles are versatile and suitable for most fabric weights, making them perfect for everyday sewing tasks. Whether you're working on lightweight cotton or heavier woven materials, these needles provide smooth and reliable stitching results.</p>
\n<p class="""" data-start=""704"" data-end=""972"">Their portable and compact design makes them easy to store and transport, ensuring that you always have the right needle on hand when you need it. With their practical design and durability, these sewing machine needles are a must-have addition to your sewing toolkit.</p>",,,taxable,,1,19,,0,0,0.01,,,,1,,1500,2000,Needles & Pins,"HA needle, manual sewing machine, Needle, Sewing machine needle, sewing needle, tabletop sewing machine",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1293.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1282.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1270.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1272.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1273.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1286.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1285.jpg",,,,,,,,,0,,Butterfly

22055,simple,BSA-00076-C,,9 Hole Straight Nose Tweezer,1,0,visible,"Lightweight and durable stainless steel tweezers designed for precision tasks like applying lashes, handling stamps, jewelry, and documents—ideal for both professional and personal use.","<p class="""" data-start=""34"" data-end=""290"">Crafted from high-quality stainless steel, these precision tweezers are lightweight, compact, and easy to carry—perfect for on-the-go use. Their fine tips offer excellent control for delicate tasks, making them ideal for both professional and personal use.</p>
\n<p class="""" data-start=""292"" data-end=""632"">The tweezers feature a humanized, multifunctional design, allowing for a wide range of applications including applying false eyelashes, handling stamps, placing jewelry, managing documents, or working with small craft materials. Their elegant finish pairs well with other tools and cosmetics, while the smooth surface ensures easy cleaning.</p>
\n<p class="""" data-start=""634"" data-end=""769"">A thoughtful and practical gift for beauty lovers, hobbyists, stamp collectors, or anyone who appreciates high-quality precision tools.</p>",,,taxable,,1,19,,0,0,0.03,,,,1,,3000,3500,Others,"picker, tweezer",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/51yWxbf5AeL._AC_SL1500_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/61byYaudiBL._AC_SL1500_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/41sY0RelnL._AC_SL1500_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/41Qccbe4VL._AC_SL1500_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/51HwWjcRb-L._AC_SL1500_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/31UiHEysQiL._AC_SX522_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01KJ2pHF1Bs2pggnTiQ_0-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN012XDIHb1xggcfXbKQr_2216361246473-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/41UCP9rxsPL._AC_SL1500_.jpg",,,,,,,,,0,,

22079,simple,BSA-00083-C,,Overlock Needle Threader Set,1,0,visible,"Durable and easy-to-use serger needle threader made of high-quality ABS plastic and metal, designed for effortless threading of overlocker needles. Ideal for all sewists and perfect for everyday use.","<p class="""" data-start=""23"" data-end=""437"">The Overlock Needle Threader is a practical and efficient tool designed to simplify threading tasks on overlocker and serger machines. Made from high-quality ABS plastic and metal, this tool features fine workmanship, offering durability and a long service life for frequent use. Its long and slim design allows for easy access, helping you thread needles quickly and with minimal effort—even in hard-to-reach areas.</p>
\n<p class="""" data-start=""439"" data-end=""817"">This overlocker threader set comes with a transparent protective sleeve to keep the threader safe and clean when not in use. It’s compatible with most types of needles, making it a versatile addition to your sewing toolkit. Whether you're a beginner or an experienced sewist, this tool greatly enhances efficiency, especially when working with fine threads or small needle eyes.</p>
\n<p class="""" data-start=""819"" data-end=""1093"">Ideal for everyday sewing tasks, it makes threading faster and less frustrating—especially for those with visual or dexterity challenges. It’s also a thoughtful gift for sewing enthusiasts, mothers, or elderly individuals who enjoy creating garments and DIY sewing projects.</p>",,,taxable,,1,20,,0,0,0.01,,,,1,,3000,3500,Needles & Pins,"needle threader, overlock sewing machine, serger sewing machine, Sewing machine needle, sewing needle, weaving machine",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/41VDoMIO7lL._AC_SL1200_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01MRDM7k25JLRSmuGuA_2347217505-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01sNWmxW25JLRQUyD2r_2347217505-0-cib-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/51WEx2Jgw6L._AC_SL1500_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01zRAdjE25JLRRfMHsQ_2347217505-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/41tNjElGBLL._AC_SL1400_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/51SvyHGSooL._AC_SL1200_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/416S2M62EmL._AC_SL1200_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/51q3B5e7saL._AC_SL1200_.jpg",,,,,,,,,0,,

22080,simple,BSA-00078-C,,Butterfly HA Needle Size16,1,0,visible,"Durable flat-shank sewing machine needles suitable for most home machines like Singer and Brother. Ideal for woven fabrics, they’re portable, sturdy, and easy to store.","<p class="""" data-start=""0"" data-end=""392"">These high-quality sewing machine needles are designed for both electric and manual sewing machines, offering exceptional durability and longevity. Made with sturdy materials, these needles are resistant to bending and are built to withstand long-term use. The standard flat shank design ensures compatibility with most home sewing machines, such as Singer, Brother, and other similar brands.</p>
\n<p class="""" data-start=""394"" data-end=""702"">Ideal for a variety of woven fabrics, these universal regular point needles are versatile and suitable for most fabric weights, making them perfect for everyday sewing tasks. Whether you're working on lightweight cotton or heavier woven materials, these needles provide smooth and reliable stitching results.</p>
\n<p class="""" data-start=""704"" data-end=""972"">Their portable and compact design makes them easy to store and transport, ensuring that you always have the right needle on hand when you need it. With their practical design and durability, these sewing machine needles are a must-have addition to your sewing toolkit.</p>",,,taxable,,1,29,,0,0,0.01,,,,1,,1500,2000,Needles & Pins,"HA needle, manual sewing machine, Needle, Sewing machine needle, sewing needle, tabletop sewing machine",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1284.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1271.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1282.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1275.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1273.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1286.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1281.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1285.jpg",,,,,,,,,0,,Butterfly

22081,simple,BSA-00079-C,,Butterfly HA Needle Size 14,1,0,visible,"Durable flat-shank sewing machine needles suitable for most home machines like Singer and Brother. Ideal for woven fabrics, they’re portable, sturdy, and easy to store.","<p class="""" data-start=""0"" data-end=""392"">These high-quality sewing machine needles are designed for both electric and manual sewing machines, offering exceptional durability and longevity. Made with sturdy materials, these needles are resistant to bending and are built to withstand long-term use. The standard flat shank design ensures compatibility with most home sewing machines, such as Singer, Brother, and other similar brands.</p>
\n<p class="""" data-start=""394"" data-end=""702"">Ideal for a variety of woven fabrics, these universal regular point needles are versatile and suitable for most fabric weights, making them perfect for everyday sewing tasks. Whether you're working on lightweight cotton or heavier woven materials, these needles provide smooth and reliable stitching results.</p>
\n<p class="""" data-start=""704"" data-end=""972"">Their portable and compact design makes them easy to store and transport, ensuring that you always have the right needle on hand when you need it. With their practical design and durability, these sewing machine needles are a must-have addition to your sewing toolkit.</p>",,,taxable,,1,30,,0,0,0.01,,,,1,,1500,2000,Needles & Pins,"HA needle, manual sewing machine, Needle, Sewing machine needle, sewing needle, tabletop sewing machine",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1274.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1282.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1273.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1286.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1285.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1276.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1288.jpg",,,,,,,,,0,,Butterfly

22084,simple,BSA-00080-C,,Butterfly HA Needle Size 12,1,0,visible,"Durable flat-shank sewing machine needles suitable for most home machines like Singer and Brother. Ideal for woven fabrics, they’re portable, sturdy, and easy to store.","<p class="""" data-start=""0"" data-end=""392"">These high-quality sewing machine needles are designed for both electric and manual sewing machines, offering exceptional durability and longevity. Made with sturdy materials, these needles are resistant to bending and are built to withstand long-term use. The standard flat shank design ensures compatibility with most home sewing machines, such as Singer, Brother, and other similar brands.</p>
\n<p class="""" data-start=""394"" data-end=""702"">Ideal for a variety of woven fabrics, these universal regular point needles are versatile and suitable for most fabric weights, making them perfect for everyday sewing tasks. Whether you're working on lightweight cotton or heavier woven materials, these needles provide smooth and reliable stitching results.</p>
\n<p class="""" data-start=""704"" data-end=""972"">Their portable and compact design makes them easy to store and transport, ensuring that you always have the right needle on hand when you need it. With their practical design and durability, these sewing machine needles are a must-have addition to your sewing toolkit.</p>",,,taxable,,1,20,,0,0,0.01,,,,1,,1500,2000,Needles & Pins,"HA needle, manual sewing machine, Needle, Sewing machine needle, sewing needle, tabletop sewing machine",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1291-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1282.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1273.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1286.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1285.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1276.jpg",,,,,,,,,0,,Butterfly

22085,simple,BSA-00081-C,,Butterfly HA Needle Size 11,1,0,visible,"Durable flat-shank sewing machine needles suitable for most home machines like Singer and Brother. Ideal for woven fabrics, they’re portable, sturdy, and easy to store.","<p class="""" data-start=""0"" data-end=""392"">These high-quality sewing machine needles are designed for both electric and manual sewing machines, offering exceptional durability and longevity. Made with sturdy materials, these needles are resistant to bending and are built to withstand long-term use. The standard flat shank design ensures compatibility with most home sewing machines, such as Singer, Brother, and other similar brands.</p>
\n<p class="""" data-start=""394"" data-end=""702"">Ideal for a variety of woven fabrics, these universal regular point needles are versatile and suitable for most fabric weights, making them perfect for everyday sewing tasks. Whether you're working on lightweight cotton or heavier woven materials, these needles provide smooth and reliable stitching results.</p>
\n<p class="""" data-start=""704"" data-end=""972"">Their portable and compact design makes them easy to store and transport, ensuring that you always have the right needle on hand when you need it. With their practical design and durability, these sewing machine needles are a must-have addition to your sewing toolkit.</p>",,,taxable,,1,20,,0,0,0.01,,,,1,,1500,2000,Needles & Pins,"HA needle, manual sewing machine, Needle, Sewing machine needle, sewing needle, tabletop sewing machine",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1278.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1282.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1273.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1286.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1285.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1276.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1287.jpg",,,,,,,,,0,,Butterfly

22086,simple,BSA-00082-C,,Butterfly HA Needle Size 9,1,0,visible,"Durable flat-shank sewing machine needles suitable for most home machines like Singer and Brother. Ideal for woven fabrics, they’re portable, sturdy, and easy to store.","<p class="""" data-start=""0"" data-end=""392"">These high-quality sewing machine needles are designed for both electric and manual sewing machines, offering exceptional durability and longevity. Made with sturdy materials, these needles are resistant to bending and are built to withstand long-term use. The standard flat shank design ensures compatibility with most home sewing machines, such as Singer, Brother, and other similar brands.</p>
\n<p class="""" data-start=""394"" data-end=""702"">Ideal for a variety of woven fabrics, these universal regular point needles are versatile and suitable for most fabric weights, making them perfect for everyday sewing tasks. Whether you're working on lightweight cotton or heavier woven materials, these needles provide smooth and reliable stitching results.</p>
\n<p class="""" data-start=""704"" data-end=""972"">Their portable and compact design makes them easy to store and transport, ensuring that you always have the right needle on hand when you need it. With their practical design and durability, these sewing machine needles are a must-have addition to your sewing toolkit.</p>",,,taxable,,1,20,,0,0,0.01,,,,1,,1500,2000,Needles & Pins,"HA needle, manual sewing machine, Needle, Sewing machine needle, sewing needle, tabletop sewing machine",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1277.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1282.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1273.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1286.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1285.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_1276.jpg",,,,,,,,,0,,Butterfly

22098,simple,BSA-00084-C,,Reusable Washable Lint Roller,1,0,visible,"Eco-friendly, reusable lint roller with strong stickiness—perfect for removing hair, lint, and dust from clothes, furniture, and more. Washable and travel-friendly for convenient cleaning anytime.","<p class="""" data-start=""0"" data-end=""416"">This <strong data-start=""37"" data-end=""61"">washable lint roller</strong> is a practical and eco-friendly alternative to traditional sticky paper rollers. Crafted from high-quality gel material, it offers <strong data-start=""193"" data-end=""214"">strong stickiness</strong> that effortlessly picks up pet hair, lint, dust, and clothing fibers. After use, simply rinse it with water to restore its stickiness—eliminating the need for frequent paper refills and reducing waste.</p>
\n<p class="""" data-start=""418"" data-end=""716"">Designed with <strong data-start=""432"" data-end=""454"">multifunctionality</strong> in mind, this lint roller is not only perfect for clothing and furniture but also effective on car seats, carpets, bedding, and other surfaces. Its <strong data-start=""603"" data-end=""623"">comfortable grip</strong> and ergonomic design ensure easy handling, minimizing hand fatigue even during extended use.</p>
\n<p class="""" data-start=""718"" data-end=""979"">Compact and <strong data-start=""730"" data-end=""747"">easy to carry</strong>, this reusable roller is ideal for both home and on-the-go cleaning. Whether you're heading out or traveling, you can keep your clothes and surroundings lint-free anytime, anywhere—making everyday grooming and maintenance a breeze.0</p>",,,taxable,,1,18,,0,0,0.2,,,,1,,12000,12500,Others,"fabric shaver, lint remover, Lint roller",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01quvqEi230Rui0WYuE_2218877117193-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/31gEmRX7X-L._AC_SL1000_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/61KKauKrN7L._AC_SL1000_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/611-hZEolwL._AC_SL1000_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/61S-FtJ5vGL._AC_SL1000_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/6144cDshgYL._AC_SL1000_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/71ZKcTanIL._AC_SL1000_.jpg",,,,,,,,,0,,

22141,simple,BSA-00085-C,,Upgraded 2in1 Seam Ripper,1,0,visible,"Compact 2-in-1 tool for easy needle threading and safe seam ripping—perfect for sewing at home or on the go. Ideal for embroidery, quilting, and everyday stitching needs.","<p class="""" data-start=""0"" data-end=""350"">This <strong data-start=""37"" data-end=""79"">2-in-1 Needle Threader and Seam Ripper</strong> is the ultimate compact sewing companion, designed to make threading and seam removal quick, safe, and convenient—whether you're at home or on the go. Its <strong data-start=""235"" data-end=""254"">portable design</strong> fits effortlessly into any sewing kit, pouch, or pocket, making it a must-have for all sewists.</p>
\n<p class="""" data-start=""352"" data-end=""606"">Featuring an <strong data-start=""365"" data-end=""397"">upgraded threading mechanism</strong>, this tool simplifies the process: just insert the needle, hook the thread, and pull back. It’s a game-changer for reducing eye strain and frustration during sewing, especially on tight or small-eyed needles.</p>
\n<p class="""" data-start=""608"" data-end=""804"">The <strong data-start=""612"" data-end=""631"">seam ripper end</strong> is equipped with a <strong data-start=""651"" data-end=""674"">safety red ball tip</strong>, allowing for precise seam removal without damaging your fabric—ideal for correcting mistakes or repurposing materials with ease.</p>
\n<p class="""" data-start=""806"" data-end=""1073"">Perfect for embroidery, quilting, dressmaking, and general repairs, this handy tool is also a <strong data-start=""900"" data-end=""919"">thoughtful gift</strong> for moms, grandmothers, friends, or anyone who enjoys crafting. Functional, lightweight, and reliable—it’s an essential addition to every sewing toolkit.</p>",,,taxable,,1,20,,0,0,0.03,,,,1,,4000,4500,"Cutters & Scissors, Needles & Pins","seam ripper, thread cutter",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01BP48Su2IapcGxs6xy_2816779303-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01r4uBx62IapcFMHXve_2816779303-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN012xM1Ml2IapcHCB93F_2816779303-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01YASgQS1SP3Q0L6cAm_2217825932238-0-cib-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01L9qGEO1SP3Ps1OPHo_2217825932238-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01ZbA6Np2B9cla9MOhG_2218126198296-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01tCUY6m26XNEJLpXIJ_2217675127671-0-cib.jpg",,,,,,,,,0,,

22151,simple,BSA-00086-C,,Adjustable Edge Guide Rolling Hemmer Foot,1,0,visible,"Adjustable roller presser foot for smooth, wrinkle-free sewing. Fits most industrial machines and ideal for various fabric thicknesses.","<p class="""" data-start=""0"" data-end=""378"">This <strong data-start=""37"" data-end=""71"">Adjustable Roller Presser Foot</strong> is expertly designed to enhance your sewing experience with precision, ease, and versatility. Whether you're working with lightweight silks or thicker materials, its <strong data-start=""238"" data-end=""261"">adjustable settings</strong> allow you to accommodate different fabric thicknesses effortlessly—making it ideal for a variety of sewing projects.</p>
\n<p class="""" data-start=""380"" data-end=""575"">The presser foot applies <strong data-start=""405"" data-end=""422"">even pressure</strong> across your fabric, preventing unwanted wrinkling, stretching, or shifting as you sew. This ensures cleaner, more professional-looking seams every time.</p>
